trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.8995000000000036}",25,0,-35.13923401097999,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.8980000000000037}",35,0,-59.70517381890187,"{0: 21, 1: 14, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.8965000000000037}",25,0,-68.70584508235271,"{0: 12, 1: 11, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.8950000000000038}",25,0,-17.45921440685256,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.8935000000000038}",25,0,-43.277523976161575,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.8920000000000039}",20,0,-51.501395465451154,"{0: 11, 1: 7, 2: 1, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.890500000000004}",20,0,-25.643283680757776,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.889000000000004}",20,4,-10.574866968073778,"{0: 11, 1: 5, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.8875000000000041}",20,1,-13.934772196021685,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.8860000000000041}",25,0,-41.1460872937905,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.8845000000000042}",20,0,-13.463125865139688,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.8830000000000042}",20,0,-15.813267002216637,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.8815000000000043}",30,0,-20.162644305973934,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.8800000000000043}",25,0,-74.9615506071276,"{0: 10, 1: 14, 2: 0, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.8785000000000044}",20,0,-17.946961802483223,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.8770000000000044}",25,0,-39.0677795554769,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.8755000000000045}",20,0,-17.311334078104956,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.8740000000000046}",25,0,-68.31910232648866,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.8725000000000046}",25,0,-12.769222916917066,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.8710000000000047}",20,0,-21.899579709344348,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
